filnavn,sharpness,exposure,brisque,musiq,tag_score,total,manual
20201228_121146.jpg,3.10,9.58,8.69,9.93,5.52,5.77,6
20221020_050156.jpg,4.25,1.00,2.95,3.24,5.57,6.80,7
20221020_050220.jpg,1.90,10.00,1.00,6.55,5.28,7.71,9
20221103_022936.jpg,9.88,1.00,8.64,4.19,4.84,7.21,8
20221107_034938.jpg,1.67,10.00,3.36,5.79,6.65,7.98,9
20221116_230620.jpg,1.17,7.91,6.12,6.68,3.07,2.61,2
20221116_230622.jpg,1.50,9.57,4.82,8.55,3.90,4.13,2
20221116_230622_001.jpg,1.80,9.02,6.45,8.83,3.58,3.04,2
20221116_230622_002.jpg,1.03,9.41,5.37,4.60,4.46,5.01,4
20221116_230622_003.jpg,1.03,9.43,4.51,7.50,3.80,4.35,4
20221116_230626.jpg,8.52,9.10,4.41,7.87,5.82,6.06,5
20221116_230626_001.jpg,1.19,9.51,5.06,4.92,4.03,5.56,
20221116_230628.jpg,1.11,1.33,6.01,1.32,4.99,4.85,4
20221116_230628_001.jpg,1.17,1.00,5.05,2.70,3.95,2.13,2
20221116_230630.jpg,1.34,9.93,8.04,2.57,5.44,4.65,3
20221116_230630_001.jpg,1.12,7.84,4.72,1.11,3.85,1.38,2
20221116_230632.jpg,2.55,1.00,6.78,4.11,4.81,3.47,2
20221116_230634.jpg,1.92,8.47,6.34,5.91,4.36,4.61,3
20221116_230634_001.jpg,1.69,9.29,4.11,6.68,4.86,2.82,
20221116_230636.jpg,2.39,9.78,5.47,4.11,4.52,3.30,2
20221116_230636_001.jpg,1.33,8.97,7.76,2.58,4.53,3.28,
20221116_230638.jpg,1.28,9.25,7.75,3.77,5.41,4.83,4
20221116_230638_001.jpg,1.29,6.68,7.59,2.56,4.67,3.44,2
20221116_230640.jpg,4.56,1.29,6.68,4.36,3.79,2.71,2
20221116_230640_001.jpg,1.34,7.82,7.88,2.44,6.09,5.93,4
20221116_230640_002.jpg,1.11,1.00,5.73,2.21,4.49,4.18,2
20221116_230642.jpg,2.30,9.20,9.25,4.59,5.86,5.71,4
20221116_230642_001.jpg,7.80,5.40,10.00,3.19,4.65,4.13,3
20221116_230642_002.jpg,1.24,9.95,7.01,3.69,3.63,2.81,2
20221208_001158.jpg,1.03,1.00,6.17,1.88,4.28,3.01,2
20221208_001200.jpg,1.48,9.23,8.07,3.98,5.21,3.14,2
20221208_001202.jpg,1.76,9.48,8.47,5.99,5.55,4.16,2
20221208_001202_001.jpg,3.49,1.00,8.79,5.60,4.53,4.71,2
20221208_001204.jpg,1.41,7.58,5.97,2.03,4.73,3.83,4
20221208_001204_001.jpg,3.82,7.48,9.36,6.38,4.59,3.32,3
20221208_001206.jpg,1.28,9.55,6.09,1.00,5.36,4.68,4
20221208_001206_001.jpg,1.28,7.43,6.60,5.75,5.21,5.05,2
20221208_001208.jpg,2.01,8.78,8.75,5.05,5.63,4.56,3
20221208_001210.jpg,1.87,7.51,9.20,5.96,4.69,4.19,5
20221208_001212.jpg,1.22,8.36,6.67,1.00,4.97,3.01,2
20221208_001212_001.jpg,1.78,4.61,6.78,1.00,5.38,5.18,5
20221208_001214.jpg,2.33,7.10,6.04,5.55,5.54,5.83,5
20221208_001216.jpg,1.79,4.45,7.35,2.92,6.09,6.34,
20221208_001216_001.jpg,1.35,9.77,5.78,4.03,5.29,4.99,5
20221208_001220.jpg,1.00,9.99,7.24,6.23,4.57,3.89,5
20221208_001222.jpg,1.00,8.65,3.40,5.35,5.01,4.54,
20221208_001222_001.jpg,1.22,9.50,5.34,2.63,4.92,4.26,4
20221208_001224.jpg,1.13,9.26,6.36,1.67,4.14,4.22,
20221208_001224_001.jpg,1.51,9.70,6.31,7.57,4.34,4.06,
20221208_001228.jpg,1.00,5.21,5.79,1.00,4.72,3.15,
20221208_001228_001.jpg,1.00,7.21,5.18,3.36,3.70,3.74,
20260612_150000_001.jpg,1.83,7.96,1.00,5.47,4.19,5.45,7
20260612_150000.jpg,1.49,8.37,1.00,5.45,4.05,4.77,5
20260528_134719.jpg,4.66,9.79,7.54,5.36,4.26,3.50,3
20260528_134718_001.jpg,8.84,9.96,5.22,9.71,4.09,4.72,4
20260528_134718.jpg,8.23,9.97,6.46,10.00,4.02,4.27,4
20260528_134642.jpg,1.69,8.55,6.22,4.89,4.83,4.86,4
20260528_134641.jpg,2.01,9.00,7.61,6.14,4.00,4.51,4
20260528_134640.jpg,3.73,8.91,10.00,9.17,4.49,5.00,
20260528_134634.jpg,3.66,8.76,9.33,4.93,4.29,5.29,
20260528_134632.jpg,1.19,8.85,4.27,1.50,3.70,2.99,
20260528_134631.jpg,1.13,8.23,5.28,2.74,3.31,3.34,
20260528_134627.jpg,1.48,9.30,7.21,7.71,4.20,4.98,
20260528_134625.jpg,1.59,9.49,7.26,7.37,4.35,5.20,
20260528_134624.jpg,1.49,9.41,6.73,4.39,4.00,3.64,
20260528_134611.jpg,2.63,8.39,9.32,7.61,4.18,6.47,
20260528_134609.jpg,2.69,8.74,8.98,2.21,4.04,4.11,
20260528_134604.jpg,1.51,4.83,6.71,4.24,2.95,2.58,
20260528_134558.jpg,3.65,8.76,10.00,7.52,5.02,5.83,
20260528_134557.jpg,2.96,8.62,9.61,10.00,4.57,5.19,
20260528_134556.jpg,3.32,8.86,9.88,10.00,4.74,5.76,
20260528_134551.jpg,4.10,7.63,10.00,8.92,4.97,4.81,
20260528_134550.jpg,3.37,8.53,10.00,7.50,4.27,4.81,
20260528_134548.jpg,3.57,9.42,5.26,7.39,3.43,4.31,
20260528_134541.jpg,5.71,7.55,10.00,9.10,5.36,6.20,
20260528_134540.jpg,9.20,5.89,6.87,10.00,5.61,6.35,
20260528_134537.jpg,3.66,9.62,8.66,10.00,3.68,2.97,
20260523_150000_006.jpg,3.20,1.00,1.00,7.03,5.39,6.99,10
20260523_150000_005.jpg,5.39,1.00,1.17,2.53,5.08,6.40,10
20260523_150000_004.jpg,2.08,7.85,1.00,5.91,5.31,6.05,
20260523_150000_003.jpg,2.86,1.83,1.00,7.02,4.67,4.29,
20260523_150000_002.jpg,1.28,4.97,1.00,1.67,5.68,6.46,
20260523_150000_001.jpg,1.80,1.00,1.00,5.82,4.01,4.24,
20260523_150000.jpg,1.60,7.38,1.00,3.17,4.37,4.16,
20260217_135057.jpg,5.39,7.20,9.51,8.71,4.86,5.75,
20260217_135056.jpg,4.83,7.26,9.10,8.37,4.71,5.14,
20260217_135054_001.jpg,5.55,7.83,10.00,8.90,4.33,5.29,
20260217_135054.jpg,4.85,7.85,9.73,9.63,4.56,6.03,
20260217_125941_001.jpg,9.37,10.00,4.16,10.00,4.96,4.30,
20260217_125941.jpg,9.74,10.00,3.81,10.00,5.05,4.55,
20260217_125936_001.jpg,7.44,9.25,8.44,10.00,5.40,7.36,10
20260217_125936.jpg,6.35,9.25,8.62,10.00,5.39,7.35,
20260217_125907.jpg,7.45,9.21,10.00,10.00,4.77,5.78,
20260217_125906.jpg,7.51,9.21,10.00,10.00,4.70,5.63,
20260217_124626.jpg,10.00,9.57,8.27,9.92,4.31,5.97,
20260217_124625.jpg,10.00,9.07,9.94,9.31,4.26,6.15,
20260217_124624.jpg,8.95,8.94,9.84,9.12,3.98,5.40,
20260217_123615_001.jpg,10.00,9.69,3.28,10.00,3.68,4.03,
20260217_123615.jpg,10.00,9.88,3.22,10.00,3.80,4.28,
20260217_123612.jpg,4.77,9.45,8.21,8.88,4.81,4.22,
20260217_123611.jpg,4.90,9.45,8.38,8.94,4.64,4.15,
20260217_122811.jpg,6.07,9.32,4.18,9.30,4.11,4.53,
20260217_122809.jpg,4.48,9.40,7.38,7.95,4.19,3.58,
20250619_122636.jpg,3.24,9.66,8.15,8.08,5.77,6.43,
20250619_122629.jpg,10.00,1.01,8.58,9.80,6.41,7.09,
20250619_122628.jpg,10.00,1.00,7.67,10.00,6.43,7.25,
20250619_122625.jpg,10.00,3.43,6.40,10.00,6.34,7.51,7
20250619_122622.jpg,10.00,3.22,5.35,10.00,6.33,7.76,
20250619_122620.jpg,10.00,2.76,5.84,9.82,6.48,7.81,
20250321_141348.jpg,10.00,4.30,8.28,7.88,7.15,7.81,6
20250321_141346.jpg,10.00,2.27,8.84,4.87,6.58,6.94,8
20250321_141342.jpg,10.00,4.00,8.46,9.42,6.94,8.58,8
20250321_141334.jpg,10.00,6.69,3.75,9.25,5.66,8.37,9
20250321_141313.jpg,10.00,7.86,7.47,10.00,7.00,9.17,8
20250321_141220.jpg,6.60,5.02,10.00,6.52,6.93,7.53,9
20250321_141215.jpg,10.00,8.60,5.17,10.00,7.11,8.88,8
20250321_141200.jpg,10.00,7.95,6.93,8.62,6.78,8.68,
20250321_141155.jpg,10.00,7.39,6.32,10.00,6.46,8.97,
20250321_141144.jpg,10.00,9.20,8.86,8.99,6.18,6.96,
20250321_141142.jpg,10.00,8.88,4.87,10.00,5.79,6.55,
20250321_141135.jpg,6.80,1.00,9.60,2.44,6.27,6.51,
20250321_141128.jpg,8.54,8.54,10.00,6.57,7.84,8.17,9
20250321_141125.jpg,6.55,8.68,10.00,6.35,6.61,7.20,9
20250321_141122.jpg,7.30,3.30,8.83,8.25,6.44,8.77,8
20250321_141119.jpg,6.13,3.47,7.79,6.62,6.75,8.46,9
20250321_141117.jpg,4.34,3.06,10.00,5.42,6.76,7.35,9
20250321_141113.jpg,3.92,6.07,6.65,8.08,6.85,7.83,9
20250321_141111.jpg,4.27,6.56,8.26,7.36,6.63,7.77,
20250321_141110.jpg,3.36,6.17,7.53,7.21,6.56,8.02,
20250321_141055.jpg,10.00,7.14,9.01,10.00,6.55,8.47,
20250321_141050.jpg,10.00,6.04,9.30,9.87,7.02,10.00,
20250321_141045.jpg,10.00,8.12,7.34,10.00,7.05,8.10,
20250321_141043.jpg,10.00,8.06,6.88,10.00,7.48,9.10,9
20250321_141042.jpg,10.00,7.72,7.56,10.00,7.51,9.67,9
20250321_141036.jpg,10.00,9.14,2.22,9.26,7.21,8.38,9
20250321_141035.jpg,10.00,6.79,1.69,6.65,6.96,8.06,
20250321_141031.jpg,5.31,6.68,9.38,7.32,7.25,7.84,
20250321_141030.jpg,6.71,6.73,9.65,7.34,7.39,8.16,
20250129_131504.jpg,4.22,7.09,8.66,7.70,5.44,5.54,
20250129_131500.jpg,5.18,7.62,8.22,10.00,6.01,6.65,
20250129_131458.jpg,2.09,8.14,6.41,7.82,5.91,6.67,7
20250109_122205.jpg,3.24,9.84,5.11,8.57,4.65,5.88,7
20250109_122201.jpg,4.68,10.00,3.67,8.48,4.47,5.83,
20250109_122132.jpg,4.45,9.27,6.21,10.00,4.11,5.32,7
20250109_122003.jpg,1.98,8.29,9.76,4.76,5.51,6.89,8
20250109_122002.jpg,2.16,8.31,9.56,5.06,5.50,6.94,
20250109_121944.jpg,6.93,2.00,6.02,7.08,6.24,6.91,9
20250109_121936.jpg,2.17,6.33,7.00,3.83,5.50,5.46,8
20250109_121930.jpg,2.81,4.66,6.84,5.10,6.19,6.44,8
20250109_121924.jpg,2.63,8.42,9.81,8.10,6.21,7.19,10
20250109_121922.jpg,1.99,8.40,10.00,8.19,6.25,6.92,
20250109_121920.jpg,2.29,8.45,9.90,7.77,6.23,7.15,10
20250109_120033.jpg,4.55,9.10,7.11,10.00,3.36,2.96,
