filnavn,sharpness,exposure,brisque,musiq,tag_score,total
20201228_121146.jpg,3.17,9.57,8.64,9.92,5.52,5.49
20221020_050156.jpg,4.35,1.00,2.91,2.99,5.57,6.91
20221020_050220.jpg,1.93,10.00,1.00,6.42,5.28,7.63
20221103_022936.jpg,10.00,1.00,8.59,3.98,4.84,7.23
20221107_034938.jpg,1.69,10.00,3.32,5.64,6.65,7.82
20221116_230620.jpg,1.18,7.90,6.08,6.56,3.07,2.54
20221116_230622.jpg,1.52,9.56,4.78,8.49,3.90,4.26
20221116_230622_001.jpg,1.83,9.01,6.40,8.78,3.58,3.12
20221116_230622_002.jpg,1.03,9.40,5.33,4.40,4.46,5.13
20221116_230622_003.jpg,1.03,9.42,4.47,7.40,3.80,4.43
20221116_230626.jpg,8.74,9.09,4.37,7.78,5.82,5.97
20221116_230626_001.jpg,1.20,9.50,5.01,4.73,4.03,5.48
20221116_230628.jpg,1.12,1.32,5.97,1.00,4.99,4.69
20221116_230628_001.jpg,1.18,1.00,5.00,2.43,3.95,2.12
20221116_230630.jpg,1.35,9.92,8.00,2.29,5.44,4.65
20221116_230630_001.jpg,1.13,7.83,4.68,1.00,3.85,1.30
20221116_230632.jpg,2.60,1.00,6.73,3.90,4.81,3.55
20221116_230634.jpg,1.95,8.47,6.29,5.75,4.36,4.48
20221116_230634_001.jpg,1.71,9.28,4.07,6.55,4.86,2.69
20221116_230636.jpg,2.44,9.77,5.43,3.89,4.52,3.11
20221116_230636_001.jpg,1.35,8.96,7.71,2.31,4.53,3.36
20221116_230638.jpg,1.29,9.24,7.70,3.54,5.41,4.84
20221116_230638_001.jpg,1.30,6.67,7.54,2.28,4.67,3.26
20221116_230640.jpg,4.66,1.28,6.64,4.15,3.79,2.62
20221116_230640_001.jpg,1.35,7.81,7.83,2.16,6.09,6.03
20221116_230640_002.jpg,1.12,1.00,5.68,1.93,4.49,4.09
20221116_230642.jpg,2.35,9.20,9.20,4.39,5.86,5.69
20221116_230642_001.jpg,8.00,5.39,10.00,2.94,4.65,4.32
20221116_230642_002.jpg,1.25,9.94,6.97,3.46,3.63,2.74
20221208_001158.jpg,1.03,1.00,6.13,1.58,4.28,2.74
20221208_001200.jpg,1.49,9.22,8.03,3.76,5.21,3.11
20221208_001202.jpg,1.79,9.48,8.42,5.84,5.55,4.28
20221208_001202_001.jpg,3.56,1.00,8.74,5.43,4.53,4.66
20221208_001204.jpg,1.43,7.57,5.92,1.74,4.73,3.88
20221208_001204_001.jpg,3.91,7.47,9.31,6.24,4.59,3.41
20221208_001206.jpg,1.29,9.54,6.04,1.00,5.36,4.56
20221208_001206_001.jpg,1.29,7.42,6.55,5.59,5.21,4.96
20221208_001208.jpg,2.04,8.77,8.70,4.87,5.63,4.48
20221208_001210.jpg,1.90,7.50,9.15,5.81,4.69,4.24
20221208_001212.jpg,1.23,8.35,6.63,1.00,4.97,2.90
20221208_001212_001.jpg,1.81,4.60,6.74,1.00,5.38,5.06
20221208_001214.jpg,2.37,7.09,6.00,5.39,5.54,5.98
20221208_001216.jpg,1.81,4.44,7.31,2.66,6.09,6.07
20221208_001216_001.jpg,1.37,9.76,5.74,3.81,5.29,5.12
20221208_001220.jpg,1.00,9.98,7.20,6.08,4.57,3.93
20221208_001222.jpg,1.00,8.64,3.36,5.18,5.01,4.53
